district_code,resource_id,time,demand
7,R4,0,0.0208048322031802
7,R4,1,0.0216651655803903
7,R4,2,0.0172863403673978
7,R4,3,0.0207678513102207
7,R4,4,0.0234235989115338
7,R5,0,0.024005575619054198
7,R5,1,0.0249982679773736
7,R5,2,0.0199457773469974
7,R5,3,0.023962905357947102
7,R5,4,0.0270272295133083
7,R6,0,0.0256059473269912
7,R6,1,0.0266648191758651
7,R6,2,0.0212754958367974
7,R6,3,0.0255604323818101
7,R6,4,0.0288290448141955
7,R7,0,0.0192044604952432
7,R7,1,0.019998614381898802
7,R7,2,0.015956621877598
7,R7,3,0.0191703242863576
7,R7,4,0.0216217836106464
7,R8,0,0.0128029736634953
7,R8,1,0.013332409587932399
7,R8,2,0.0106377479183984
7,R8,3,0.0127802161909048
7,R8,4,0.0144145224070976
7,R9,0,0.0144033453714324
7,R9,1,0.0149989607864241
7,R9,2,0.011967466408198102
7,R9,3,0.0143777432147679
7,R9,4,0.0162163377079848
8,R1,0,0.012152177494472
8,R1,1,0.0417429248095382
8,R1,2,0.039312486873285396
8,R1,3,0.0430642386253192
8,R1,4,0.056941505311184006
8,R10,0,0.013367395243919099
8,R10,1,0.045917217290492196
8,R10,2,0.0432437355606141
8,R10,3,0.0473706624878513
8,R10,4,0.06263565584230239
8,R11,0,0.0170130484922608
8,R11,1,0.058440094733353695
8,R11,2,0.055037481622599804
8,R11,3,0.0602899340754472
8,R11,4,0.0797181074356577
8,R2,0,0.012152177494472
8,R2,1,0.0417429248095382
8,R2,2,0.039312486873285396
8,R2,3,0.0430642386253192
8,R2,4,0.056941505311184006
8,R3,0,0.014582612993366401
8,R3,1,0.0500915097714461
8,R3,2,0.0471749842479428
8,R3,3,0.0516770863503831
8,R3,4,0.0683298063734207
8,R4,0,0.0157978307428136
8,R4,1,0.0542658022523998
8,R4,2,0.0511062329352712
8,R4,3,0.0559835102129151
8,R4,4,0.0740239569045392
8,R5,0,0.018228266241708098
8,R5,1,0.0626143872143075
8,R5,2,0.058968730309928295
8,R5,3,0.06459635793797901
8,R5,4,0.08541225796677619
8,R6,0,0.019443483991155402
8,R6,1,0.0667886796952614
8,R6,2,0.062899978997257
8,R6,3,0.068902781800511
8,R6,4,0.0911064084978946
8,R7,0,0.014582612993366401
8,R7,1,0.0500915097714461
8,R7,2,0.0471749842479428
8,R7,3,0.0516770863503831
8,R7,4,0.0683298063734207
8,R8,0,0.0097217419955773
8,R8,1,0.0333943398476304
8,R8,2,0.0314499894986283
8,R8,3,0.0344513909002552
8,R8,4,0.0455532042489471
8,R9,0,0.0109369597450248
8,R9,1,0.037568632328584296
8,R9,2,0.0353812381859569
8,R9,3,0.0387578147627873
8,R9,4,0.0512473547800654
9,R1,0,0.012099235185242
9,R1,1,0.0070830799751406
9,R1,2,0.012059570226580201
9,R1,3,0.0209028792905425
9,R1,4,0.0181837436757548
9,R10,0,0.0133091587037664
9,R10,1,0.0077913879726547
9,R10,2,0.0132655272492383
9,R10,3,0.0229931672195968
9,R10,4,0.0200021180433304
9,R11,0,0.0169389292593391
9,R11,1,0.0099163119651968
9,R11,2,0.0168833983172124
9,R11,3,0.0292640310067598
9,R11,4,0.0254572411460571
9,R2,0,0.012099235185242
9,R2,1,0.0070830799751406
9,R2,2,0.012059570226580201
9,R2,3,0.0209028792905425
9,R2,4,0.0181837436757548
9,R3,0,0.0145190822222907
9,R3,1,0.0084996959701688
9,R3,2,0.0144714842718964
9,R3,3,0.025083455148651
9,R3,4,0.0218204924109061
9,R4,0,0.015729005740815
9,R4,1,0.009208003967683
