resource_id,district_code,time,unmet_quantity
R25,8,1,199506.14
R30,8,1,57224.75
R36,8,1,640.67
R40,8,1,74259414.0
R42,8,1,8658273.6
R44,8,1,739.99
R45,8,1,34098.45
R51,8,1,61639657.0
R54,8,1,1756083.5
R56,8,1,60127.87
R12,83,1,3781004.6
R15,83,1,26611.42
R30,83,1,18377.9
R31,83,1,1195.19
R32,83,1,2000.46
R33,83,1,83.48
R36,83,1,864.31
R40,83,1,272326260.0
R42,83,1,6375033.2
R45,83,1,24185.07
R54,83,1,1345520.3
R56,83,1,57891.98
R12,84,1,5241390.1
R15,84,1,7087.69
R25,84,1,162202.23
R30,84,1,64651.8
R32,84,1,2133.19
R33,84,1,74.82
R36,84,1,862.38
R40,84,1,194962620.0
R42,84,1,10962141.0
R44,84,1,1331.36
R51,84,1,104170380.0
R54,84,1,1374051.2
R55,84,1,35931.56
