town_code,town_name,district_code,state_code
800603,Begun (M),126,8
800604,Rawatbhata (M),126,8
800605,Chittaurgarh (M),126,8
800606,Kapasan (M),126,8
800607,Nimbahera (M),126,8
800608,Bari Sadri (M),126,8
800609,Kota (M Corp.),127,8
800610,Kaithoon (M),127,8
800611,Ramganj Mandi (M),127,8
800612,Sangod (M),127,8
800613,Mangrol (M),128,8
800614,Antah (M),128,8
800615,Baran (M),128,8
800616,Chhabra (M),128,8
800617,Jhalawar (M),129,8
800618,Jhalrapatan (M),129,8
800619,Aklera (M),129,8
800620,Bhawani Mandi (M),129,8
800621,Pirawa (M),129,8
800622,Fatehnagar (M),130,8
800623,Udaipur (M Cl),130,8
800624,Bhinder (M),130,8
800625,Kanor (M),130,8
800626,Salumbar (M),130,8
800627,Chhoti Sadri (M),131,8
800628,Pratapgarh (M),131,8
800629,Behat (NP),132,9
800630,Saharanpur (M Corp.),132,9
800631,Chilkana Sultanpur (NP),132,9
800632,Sarsawa (NPP),132,9
800633,Nakur (NPP),132,9
800634,Ambehta (NP),132,9
800635,Gangoh (NPP),132,9
800636,Titron (NP),132,9
800637,Deoband (NPP),132,9
800638,Nanauta (NP),132,9
800639,Rampur Maniharan (NP),132,9
800640,Un (NP),133,9
800641,Jhinjhana (NP),133,9
800642,Kairana (NPP),133,9
800643,Kandhla (NPP),133,9
800644,Ailam (NP),133,9
800645,Shamli (NPP),133,9
800646,Banat (NP),133,9
800647,Garhi Pukhta (NP),133,9
800648,Thana Bhawan (NP),133,9
800649,Jalalabad (NP),133,9
800650,Purquazi (NP + OG),133,9
800650,Purquazi (NP),133,9
800651,Charthawal (NP),133,9
800652,Muzaffarnagar (NPP),133,9
800653,Sisauli (NP),133,9
800654,Budhana (NP + OG),133,9
800654,Budhana (NP),133,9
800655,Shahpur (NP),133,9
800656,Khatauli (NPP),133,9
800657,Jansath (NP),133,9
800658,Bhokarhedi (NP),133,9
800659,Miranpur (NP),133,9
800660,Sahanpur (NP),134,9
800661,Najibabad (NPP),134,9
800662,Jalalabad (NP),134,9
800663,Kiratpur (NPP + OG),134,9
800663,Kiratpur (NPP),134,9
800664,Mandawar (NP),134,9
800665,Bijnor (NPP),134,9
800666,Jhalu (NP),134,9
800667,Haldaur (NPP),134,9
800668,Nagina (NPP),134,9
800669,Warhapur (NP),134,9
800670,Afzalgarh (NPP),134,9
800671,Sherkot (NPP),134,9
800672,Dhampur (NPP),134,9
800673,Nehtaur (NPP),134,9
800674,Seohara (NPP + OG),134,9
800674,Seohara (NPP),134,9
800675,Sahaspur (NP),134,9
800676,Noorpur (NPP),134,9
800677,Chandpur (NPP),134,9
800678,Thakurdwara (NPP),135,9
800679,Kanth (NP),135,9
800680,Umri Kalan (NP),135,9
800681,Bhojpur Dharampur (NP),135,9
800682,Moradabad (M Corp.),135,9
